reading uai file ../../../data//2BBN.uai
done reading uai file
normalizing #tables=703
prob.N=1
param.gamma=0.001
iter=34, primal_obj=3649.15, best_primal_obj=3994.24, dual_obj=22553.3, relaxed_primal=22771.2, relaxed_dual=22553.4, grad_l2=11.4564, infea_inf(ratio=max/min)=e^(120.004), int_gap=666.004, pow_l1=5.31159e+10, time=61.1402
iter=35, primal_obj=3525.41, best_primal_obj=3994.24, dual_obj=22541.7, relaxed_primal=22790.5, relaxed_dual=22541.9, grad_l2=11.3057, infea_inf(ratio=max/min)=e^(120.008), int_gap=659.696, pow_l1=5.37506e+10, time=62.6805
iter=36, primal_obj=3608.58, best_primal_obj=3994.24, dual_obj=22530.8, relaxed_primal=22753.9, relaxed_dual=22530.9, grad_l2=11.0915, infea_inf(ratio=max/min)=e^(120.46), int_gap=656.14, pow_l1=5.43668e+10, time=64.2395
iter=37, primal_obj=2976.53, best_primal_obj=3994.24, dual_obj=22529, relaxed_primal=22777.1, relaxed_dual=22529.1, grad_l2=10.8868, infea_inf(ratio=max/min)=e^(120), int_gap=664, pow_l1=5.49671e+10, time=65.7837
iter=38, primal_obj=3335.24, best_primal_obj=3994.24, dual_obj=22515.3, relaxed_primal=22775.9, relaxed_dual=22515.4, grad_l2=11.3326, infea_inf(ratio=max/min)=e^(120), int_gap=664.996, pow_l1=5.55407e+10, time=67.3317
iter=39, primal_obj=3200.03, best_primal_obj=3994.24, dual_obj=22505.8, relaxed_primal=22725.6, relaxed_dual=22505.9, grad_l2=11.4834, infea_inf(ratio=max/min)=e^(120.007), int_gap=662.965, pow_l1=5.61607e+10, time=68.9106
iter=40, primal_obj=3014.79, best_primal_obj=3994.24, dual_obj=22503.1, relaxed_primal=22781.3, relaxed_dual=22503.2, grad_l2=11.6294, infea_inf(ratio=max/min)=e^(120.054), int_gap=666.052, pow_l1=5.67876e+10, time=70.4804
iter=41, primal_obj=4268.76, best_primal_obj=4268.76, dual_obj=22490.6, relaxed_primal=22696.1, relaxed_dual=22490.7, grad_l2=11.4758, infea_inf(ratio=max/min)=e^(120.018), int_gap=660.018, pow_l1=5.74332e+10, time=72.0801
iter=42, primal_obj=3727.59, best_primal_obj=4268.76, dual_obj=22482.2, relaxed_primal=22772.3, relaxed_dual=22482.3, grad_l2=11.8354, infea_inf(ratio=max/min)=e^(120.002), int_gap=663.895, pow_l1=5.8073e+10, time=73.6636
iter=43, primal_obj=4546.43, best_primal_obj=4546.43, dual_obj=22476.6, relaxed_primal=22758, relaxed_dual=22476.7, grad_l2=11.3419, infea_inf(ratio=max/min)=e^(120.003), int_gap=663.066, pow_l1=5.87316e+10, time=75.2234
iter=44, primal_obj=3932.88, best_primal_obj=4546.43, dual_obj=22465.9, relaxed_primal=22736.7, relaxed_dual=22466, grad_l2=11.3345, infea_inf(ratio=max/min)=e^(120), int_gap=655.297, pow_l1=5.93242e+10, time=76.7606
iter=45, primal_obj=2579.12, best_primal_obj=4546.43, dual_obj=22458.5, relaxed_primal=22737.4, relaxed_dual=22458.6, grad_l2=11.0097, infea_inf(ratio=max/min)=e^(120.045), int_gap=665.045, pow_l1=5.99626e+10, time=78.2853
iter=46, primal_obj=4653.97, best_primal_obj=4653.97, dual_obj=22455.4, relaxed_primal=22752.6, relaxed_dual=22455.5, grad_l2=11.3552, infea_inf(ratio=max/min)=e^(120.239), int_gap=664.23, pow_l1=6.05322e+10, time=79.8061
iter=47, primal_obj=3351.94, best_primal_obj=4653.97, dual_obj=22443.1, relaxed_primal=22725.2, relaxed_dual=22443.2, grad_l2=10.535, infea_inf(ratio=max/min)=e^(120.661), int_gap=663.581, pow_l1=6.11569e+10, time=81.3239
iter=48, primal_obj=3673.64, best_primal_obj=4653.97, dual_obj=22434.5, relaxed_primal=22683.8, relaxed_dual=22434.6, grad_l2=11.7872, infea_inf(ratio=max/min)=e^(120), int_gap=664.592, pow_l1=6.1669e+10, time=82.8913
iter=49, primal_obj=2408.9, best_primal_obj=4653.97, dual_obj=22429.9, relaxed_primal=22778.4, relaxed_dual=22430, grad_l2=10.7164, infea_inf(ratio=max/min)=e^(120), int_gap=664, pow_l1=6.23348e+10, time=84.4257
iter=50, primal_obj=4038.82, best_primal_obj=4653.97, dual_obj=22422.5, relaxed_primal=22701.6, relaxed_dual=22422.7, grad_l2=11.596, infea_inf(ratio=max/min)=e^(120.306), int_gap=663.715, pow_l1=6.28702e+10, time=85.9853
iter=51, primal_obj=3544.24, best_primal_obj=4653.97, dual_obj=22414.2, relaxed_primal=22720, relaxed_dual=22414.3, grad_l2=10.7703, infea_inf(ratio=max/min)=e^(120), int_gap=661.586, pow_l1=6.35075e+10, time=87.5752
iter=52, primal_obj=4557.98, best_primal_obj=4653.97, dual_obj=22405.2, relaxed_primal=22716.5, relaxed_dual=22405.3, grad_l2=12.0452, infea_inf(ratio=max/min)=e^(120.106), int_gap=664.173, pow_l1=6.40626e+10, time=89.2221
iter=53, primal_obj=3520.55, best_primal_obj=4653.97, dual_obj=22400, relaxed_primal=22679.9, relaxed_dual=22400.1, grad_l2=11.2699, infea_inf(ratio=max/min)=e^(120.002), int_gap=662.003, pow_l1=6.47391e+10, time=90.8232
iter=54, primal_obj=3166.16, best_primal_obj=4653.97, dual_obj=22391, relaxed_primal=22716.6, relaxed_dual=22391.1, grad_l2=12.0833, infea_inf(ratio=max/min)=e^(120), int_gap=663.516, pow_l1=6.53678e+10, time=92.4563
iter=55, primal_obj=3132.92, best_primal_obj=4653.97, dual_obj=22386.6, relaxed_primal=22711.7, relaxed_dual=22386.8, grad_l2=11.5527, infea_inf(ratio=max/min)=e^(120), int_gap=663, pow_l1=6.60596e+10, time=94.0683
iter=56, primal_obj=3848.17, best_primal_obj=4653.97, dual_obj=22377.5, relaxed_primal=22663.6, relaxed_dual=22377.6, grad_l2=11.7803, infea_inf(ratio=max/min)=e^(120), int_gap=662.406, pow_l1=6.66978e+10, time=95.7112
iter=57, primal_obj=4164.95, best_primal_obj=4653.97, dual_obj=22371.5, relaxed_primal=22707.8, relaxed_dual=22371.6, grad_l2=11.6119, infea_inf(ratio=max/min)=e^(120.016), int_gap=660.035, pow_l1=6.73328e+10, time=97.3448
iter=58, primal_obj=3603.51, best_primal_obj=4653.97, dual_obj=22362.7, relaxed_primal=22664.6, relaxed_dual=22362.8, grad_l2=12.1074, infea_inf(ratio=max/min)=e^(120.032), int_gap=663.957, pow_l1=6.79689e+10, time=98.9813
iter=59, primal_obj=3932.8, best_primal_obj=4653.97, dual_obj=22357.5, relaxed_primal=22639.7, relaxed_dual=22357.6, grad_l2=11.8553, infea_inf(ratio=max/min)=e^(120), int_gap=663.938, pow_l1=6.86605e+10, time=100.64
iter=60, primal_obj=4524.79, best_primal_obj=4653.97, dual_obj=22349.9, relaxed_primal=22705.1, relaxed_dual=22350, grad_l2=11.3457, infea_inf(ratio=max/min)=e^(120.07), int_gap=660.128, pow_l1=6.92944e+10, time=102.276
iter=61, primal_obj=3705.57, best_primal_obj=4653.97, dual_obj=22345.1, relaxed_primal=22682, relaxed_dual=22345.2, grad_l2=11.8214, infea_inf(ratio=max/min)=e^(120), int_gap=664, pow_l1=6.99316e+10, time=103.931
iter=62, primal_obj=4722.24, best_primal_obj=4722.24, dual_obj=22337.8, relaxed_primal=22671.4, relaxed_dual=22337.9, grad_l2=12.1922, infea_inf(ratio=max/min)=e^(120.001), int_gap=662.001, pow_l1=7.05657e+10, time=105.598
iter=63, primal_obj=3487.64, best_primal_obj=4722.24, dual_obj=22329.2, relaxed_primal=22659.7, relaxed_dual=22329.3, grad_l2=11.6499, infea_inf(ratio=max/min)=e^(120.639), int_gap=661.473, pow_l1=7.12713e+10, time=107.247
iter=64, primal_obj=3750.51, best_primal_obj=4722.24, dual_obj=22322.8, relaxed_primal=22655, relaxed_dual=22322.9, grad_l2=11.9776, infea_inf(ratio=max/min)=e^(120), int_gap=658, pow_l1=7.18957e+10, time=108.887
iter=65, primal_obj=3788.37, best_primal_obj=4722.24, dual_obj=22319.1, relaxed_primal=22648.8, relaxed_dual=22319.2, grad_l2=11.4421, infea_inf(ratio=max/min)=e^(120), int_gap=663, pow_l1=7.25759e+10, time=110.49
iter=66, primal_obj=4192.44, best_primal_obj=4722.24, dual_obj=22309.9, relaxed_primal=22680.8, relaxed_dual=22310, grad_l2=11.8469, infea_inf(ratio=max/min)=e^(120), int_gap=664.007, pow_l1=7.31906e+10, time=112.157
iter=67, primal_obj=3720.49, best_primal_obj=4722.24, dual_obj=22306, relaxed_primal=22634.1, relaxed_dual=22306.1, grad_l2=11.8366, infea_inf(ratio=max/min)=e^(120), int_gap=663.997, pow_l1=7.38573e+10, time=113.798
iter=68, primal_obj=6317.48, best_primal_obj=6317.48, dual_obj=22298.6, relaxed_primal=22631.5, relaxed_dual=22298.7, grad_l2=11.9664, infea_inf(ratio=max/min)=e^(120), int_gap=650.977, pow_l1=7.45274e+10, time=115.451
iter=69, primal_obj=3138.27, best_primal_obj=6317.48, dual_obj=22293.4, relaxed_primal=22687.8, relaxed_dual=22293.4, grad_l2=11.3216, infea_inf(ratio=max/min)=e^(120), int_gap=663, pow_l1=7.51699e+10, time=117.104
iter=70, primal_obj=3586.58, best_primal_obj=6317.48, dual_obj=22286.3, relaxed_primal=22651, relaxed_dual=22286.4, grad_l2=12.0176, infea_inf(ratio=max/min)=e^(120.008), int_gap=660.01, pow_l1=7.58021e+10, time=118.769
iter=71, primal_obj=3921.51, best_primal_obj=6317.48, dual_obj=22282.3, relaxed_primal=22657.4, relaxed_dual=22282.4, grad_l2=11.3889, infea_inf(ratio=max/min)=e^(120.017), int_gap=662.017, pow_l1=7.64899e+10, time=120.403
iter=72, primal_obj=3778.44, best_primal_obj=6317.48, dual_obj=22274.6, relaxed_primal=22610.5, relaxed_dual=22274.7, grad_l2=12.1404, infea_inf(ratio=max/min)=e^(120.67), int_gap=664.519, pow_l1=7.70822e+10, time=122.106
iter=73, primal_obj=4487.3, best_primal_obj=6317.48, dual_obj=22267.5, relaxed_primal=22650.1, relaxed_dual=22267.6, grad_l2=11.999, infea_inf(ratio=max/min)=e^(120), int_gap=664.326, pow_l1=7.77746e+10, time=123.795
iter=74, primal_obj=4771.42, best_primal_obj=6317.48, dual_obj=22262.3, relaxed_primal=22630.4, relaxed_dual=22262.4, grad_l2=11.8667, infea_inf(ratio=max/min)=e^(120.034), int_gap=656.6, pow_l1=7.84342e+10, time=125.464
iter=75, primal_obj=3750.46, best_primal_obj=6317.48, dual_obj=22254.9, relaxed_primal=22626.9, relaxed_dual=22255, grad_l2=11.6987, infea_inf(ratio=max/min)=e^(120.034), int_gap=662.05, pow_l1=7.91009e+10, time=127.087
iter=76, primal_obj=3135.2, best_primal_obj=6317.48, dual_obj=22252, relaxed_primal=22666, relaxed_dual=22252.1, grad_l2=11.8321, infea_inf(ratio=max/min)=e^(120.001), int_gap=664.001, pow_l1=7.97495e+10, time=128.696
iter=77, primal_obj=5209.5, best_primal_obj=6317.48, dual_obj=22242.2, relaxed_primal=22594.1, relaxed_dual=22242.3, grad_l2=12.0337, infea_inf(ratio=max/min)=e^(120), int_gap=650.954, pow_l1=8.04123e+10, time=130.327
iter=78, primal_obj=4152.54, best_primal_obj=6317.48, dual_obj=22240.3, relaxed_primal=22599.2, relaxed_dual=22240.4, grad_l2=11.3425, infea_inf(ratio=max/min)=e^(120.023), int_gap=658.032, pow_l1=8.10932e+10, time=131.943
iter=79, primal_obj=4285, best_primal_obj=6317.48, dual_obj=22232.7, relaxed_primal=22627.5, relaxed_dual=22232.8, grad_l2=12.1309, infea_inf(ratio=max/min)=e^(120.002), int_gap=664.002, pow_l1=8.17049e+10, time=133.575
iter=80, primal_obj=4840.2, best_primal_obj=6317.48, dual_obj=22228, relaxed_primal=22610.4, relaxed_dual=22228.1, grad_l2=11.9612, infea_inf(ratio=max/min)=e^(120.386), int_gap=657.604, pow_l1=8.23662e+10, time=135.201
iter=81, primal_obj=3597.97, best_primal_obj=6317.48, dual_obj=22223.1, relaxed_primal=22643.6, relaxed_dual=22223.1, grad_l2=10.7133, infea_inf(ratio=max/min)=e^(120), int_gap=664, pow_l1=8.30432e+10, time=136.77
iter=82, primal_obj=4745.39, best_primal_obj=6317.48, dual_obj=22216.3, relaxed_primal=22561.9, relaxed_dual=22216.4, grad_l2=12.3582, infea_inf(ratio=max/min)=e^(120), int_gap=660.996, pow_l1=8.35601e+10, time=138.461
