reading uai file ../../../data//2BBN.uai
done reading uai file
normalizing #tables=703
prob.avg_domain_size=154.378
prob.N=1
param.rho=1
param.eta=1
@0: T=37, n=15506754, nf=0, m=0, me=205669
iter=225, #inner=322, relaxed-p-obj=13890.16, decoded_t=9884.651, best_decoded=10194.21, eta=1, p_inf=0.2, d_inf=0.003, gap=0.1, nnz=42718(0.0031), time=1.1e+03
iter=230, #inner=320, relaxed-p-obj=13880.77, decoded_t=9768.113, best_decoded=10194.21, eta=1, p_inf=0.2, d_inf=0.0037, gap=0.1, nnz=42840(0.0031), time=1.1e+03
iter=235, #inner=315, relaxed-p-obj=13891.73, decoded_t=9678.711, best_decoded=10194.21, eta=1, p_inf=0.2, d_inf=0.0011, gap=0.1, nnz=43750(0.0032), time=1.1e+03
iter=240, #inner=311, relaxed-p-obj=13901.35, decoded_t=9678.711, best_decoded=10194.21, eta=1, p_inf=0.19, d_inf=0.0041, gap=0.099, nnz=43759(0.0032), time=1.1e+03
iter=245, #inner=312, relaxed-p-obj=13914.69, decoded_t=9830.246, best_decoded=10194.21, eta=1, p_inf=0.19, d_inf=0.00063, gap=0.097, nnz=44210(0.0032), time=1.2e+03
iter=250, #inner=310, relaxed-p-obj=13915.94, decoded_t=9820.712, best_decoded=10194.21, eta=1, p_inf=0.19, d_inf=0.00097, gap=0.095, nnz=44442(0.0032), time=1.2e+03
iter=255, #inner=306, relaxed-p-obj=13921.45, decoded_t=9820.712, best_decoded=10194.21, eta=1, p_inf=0.19, d_inf=0.0013, gap=0.094, nnz=44905(0.0033), time=1.2e+03
iter=260, #inner=303, relaxed-p-obj=13906.17, decoded_t=9820.712, best_decoded=10194.21, eta=1, p_inf=0.19, d_inf=0.0015, gap=0.094, nnz=45502(0.0033), time=1.2e+03
iter=265, #inner=301, relaxed-p-obj=13912.17, decoded_t=9808.029, best_decoded=10194.21, eta=1, p_inf=0.19, d_inf=0.00072, gap=0.092, nnz=45475(0.0033), time=1.3e+03
iter=270, #inner=306, relaxed-p-obj=13904.85, decoded_t=9925.773, best_decoded=10194.21, eta=1, p_inf=0.18, d_inf=0.0016, gap=0.092, nnz=44912(0.0033), time=1.3e+03
iter=275, #inner=308, relaxed-p-obj=13916.69, decoded_t=9583.345, best_decoded=10194.21, eta=1, p_inf=0.15, d_inf=0.0068, gap=0.09, nnz=44218(0.0032), time=1.3e+03
iter=280, #inner=308, relaxed-p-obj=13902.71, decoded_t=9583.345, best_decoded=10194.21, eta=1, p_inf=0.15, d_inf=0.0038, gap=0.09, nnz=44475(0.0032), time=1.3e+03
iter=285, #inner=306, relaxed-p-obj=13929.64, decoded_t=9583.345, best_decoded=10194.21, eta=1, p_inf=0.15, d_inf=0.00071, gap=0.087, nnz=44890(0.0033), time=1.3e+03
iter=290, #inner=305, relaxed-p-obj=13901.61, decoded_t=9583.345, best_decoded=10194.21, eta=1, p_inf=0.16, d_inf=0.0015, gap=0.088, nnz=44962(0.0033), time=1.4e+03
iter=295, #inner=304, relaxed-p-obj=13902.9, decoded_t=9197.382, best_decoded=10194.21, eta=1, p_inf=0.16, d_inf=0.00094, gap=0.087, nnz=45231(0.0033), time=1.4e+03
iter=300, #inner=297, relaxed-p-obj=13905.1, decoded_t=9197.382, best_decoded=10194.21, eta=1, p_inf=0.16, d_inf=0.0017, gap=0.085, nnz=45876(0.0033), time=1.4e+03
iter=305, #inner=304, relaxed-p-obj=13941.41, decoded_t=9512.279, best_decoded=10194.21, eta=1, p_inf=0.15, d_inf=0.0048, gap=0.082, nnz=44665(0.0033), time=1.4e+03
iter=310, #inner=300, relaxed-p-obj=13938.04, decoded_t=9512.279, best_decoded=10194.21, eta=1, p_inf=0.15, d_inf=0.015, gap=0.081, nnz=45092(0.0033), time=1.5e+03
iter=315, #inner=301, relaxed-p-obj=13933.08, decoded_t=9512.279, best_decoded=10194.21, eta=1, p_inf=0.16, d_inf=0.00091, gap=0.08, nnz=45377(0.0033), time=1.5e+03
iter=320, #inner=298, relaxed-p-obj=13932.21, decoded_t=9512.279, best_decoded=10194.21, eta=1, p_inf=0.16, d_inf=0.0016, gap=0.079, nnz=45711(0.0033), time=1.5e+03
iter=325, #inner=299, relaxed-p-obj=13936.04, decoded_t=9512.279, best_decoded=10194.21, eta=1, p_inf=0.15, d_inf=0.0041, gap=0.078, nnz=45748(0.0033), time=1.6e+03
iter=330, #inner=294, relaxed-p-obj=13926.63, decoded_t=9512.279, best_decoded=10194.21, eta=1, p_inf=0.15, d_inf=0.00088, gap=0.078, nnz=46818(0.0034), time=1.6e+03
iter=335, #inner=291, relaxed-p-obj=13937.24, decoded_t=9512.279, best_decoded=10194.21, eta=1, p_inf=0.15, d_inf=0.0028, gap=0.076, nnz=46962(0.0034), time=1.6e+03
iter=340, #inner=286, relaxed-p-obj=13942.27, decoded_t=9512.279, best_decoded=10194.21, eta=1, p_inf=0.16, d_inf=0.0027, gap=0.075, nnz=47777(0.0035), time=1.6e+03
iter=345, #inner=286, relaxed-p-obj=13939.09, decoded_t=9512.279, best_decoded=10194.21, eta=1, p_inf=0.16, d_inf=0.00067, gap=0.074, nnz=48204(0.0035), time=1.7e+03
iter=350, #inner=281, relaxed-p-obj=13926.93, decoded_t=9512.279, best_decoded=10194.21, eta=1, p_inf=0.16, d_inf=0.0011, gap=0.074, nnz=48627(0.0035), time=1.7e+03
