TRWS  Tests ...
loading .h5 file ../../../data//2BBN.uai.h5................done
algorithm constructing...
algorithm starting...
best_value=11626, lower_bound=-12470.2, time=21.5605
best_value=11626, lower_bound=-12470, time=21.6203
best_value=11626, lower_bound=-12469.8, time=21.6802
best_value=11626, lower_bound=-12469.7, time=21.7401
best_value=11626, lower_bound=-12469.5, time=21.8002
best_value=11626, lower_bound=-12469.3, time=21.8597
best_value=11626, lower_bound=-12469.1, time=21.9199
best_value=11626, lower_bound=-12469, time=21.9802
best_value=11626, lower_bound=-12468.8, time=22.04
best_value=11626, lower_bound=-12468.6, time=22.1002
best_value=11626, lower_bound=-12468.4, time=22.1603
best_value=11626, lower_bound=-12468.3, time=22.2205
best_value=11626, lower_bound=-12468.1, time=22.2802
best_value=11626, lower_bound=-12467.9, time=22.3404
best_value=11626, lower_bound=-12467.8, time=22.4003
best_value=11626, lower_bound=-12467.6, time=22.4601
best_value=11626, lower_bound=-12467.4, time=22.5201
best_value=11626, lower_bound=-12467.2, time=22.5806
best_value=11626, lower_bound=-12467.1, time=22.6415
best_value=11626, lower_bound=-12466.9, time=22.7012
best_value=11626, lower_bound=-12466.7, time=22.7616
best_value=11626, lower_bound=-12466.6, time=22.8216
best_value=11626, lower_bound=-12466.4, time=22.8814
best_value=11626, lower_bound=-12466.2, time=22.9413
best_value=11626, lower_bound=-12466, time=23.0012
best_value=11626, lower_bound=-12465.9, time=23.0613
best_value=11626, lower_bound=-12465.7, time=23.1211
best_value=11626, lower_bound=-12465.5, time=23.1812
best_value=11626, lower_bound=-12465.4, time=23.2411
best_value=11626, lower_bound=-12465.2, time=23.301
best_value=11626, lower_bound=-12465, time=23.3612
best_value=11626, lower_bound=-12464.9, time=23.4216
best_value=11626, lower_bound=-12464.7, time=23.4814
best_value=11626, lower_bound=-12464.5, time=23.5414
best_value=11626, lower_bound=-12464.4, time=23.6014
best_value=11626, lower_bound=-12464.2, time=23.6611
best_value=11626, lower_bound=-12464, time=23.7209
best_value=11626, lower_bound=-12463.9, time=23.7808
best_value=11626, lower_bound=-12463.7, time=23.8408
best_value=11626, lower_bound=-12463.5, time=23.9011
best_value=11626, lower_bound=-12463.4, time=23.961
best_value=11626, lower_bound=-12463.2, time=24.0208
best_value=11626, lower_bound=-12463, time=24.0808
best_value=11626, lower_bound=-12462.9, time=24.1408
best_value=11732.4, lower_bound=-12462.7, time=24.2005
best_value=11732.4, lower_bound=-12462.5, time=24.2609
best_value=11732.4, lower_bound=-12462.4, time=24.3209
best_value=11732.4, lower_bound=-12462.2, time=24.3807
best_value=11732.4, lower_bound=-12462.1, time=24.4405
best_value=11732.4, lower_bound=-12461.9, time=24.5006
best_value=11732.4, lower_bound=-12461.8, time=24.5604
best_value=11732.4, lower_bound=-12461.6, time=24.6206
best_value=11732.4, lower_bound=-12461.5, time=24.6808
best_value=11732.4, lower_bound=-12461.3, time=24.7411
best_value=11732.4, lower_bound=-12461.2, time=24.8015
best_value=11732.4, lower_bound=-12461, time=24.8795
best_value=11732.4, lower_bound=-12460.8, time=24.9392
best_value=11732.4, lower_bound=-12460.7, time=24.9993
best_value=11732.4, lower_bound=-12460.5, time=25.0591
best_value=11732.4, lower_bound=-12460.4, time=25.1191
best_value=11732.4, lower_bound=-12460.2, time=25.1789
best_value=11732.4, lower_bound=-12460.1, time=25.2389
best_value=11732.4, lower_bound=-12459.9, time=25.2989
best_value=11732.4, lower_bound=-12459.8, time=25.3589
best_value=11732.4, lower_bound=-12459.6, time=25.4189
best_value=11732.4, lower_bound=-12459.5, time=25.4788
best_value=11732.4, lower_bound=-12459.3, time=25.5389
best_value=11732.4, lower_bound=-12459.2, time=25.599
best_value=11732.4, lower_bound=-12459, time=25.6586
best_value=11732.4, lower_bound=-12458.9, time=25.7184
best_value=11732.4, lower_bound=-12458.7, time=25.7779
best_value=11732.4, lower_bound=-12458.6, time=25.8381
best_value=11732.4, lower_bound=-12458.4, time=25.8985
best_value=11732.4, lower_bound=-12458.3, time=25.9583
best_value=11732.4, lower_bound=-12458.1, time=26.0181
best_value=11732.4, lower_bound=-12458, time=26.0778
best_value=11732.4, lower_bound=-12457.8, time=26.138
best_value=11732.4, lower_bound=-12457.7, time=26.1983
best_value=11732.4, lower_bound=-12457.6, time=26.2586
best_value=11732.4, lower_bound=-12457.4, time=26.3184
best_value=11732.4, lower_bound=-12457.3, time=26.3785
best_value=11732.4, lower_bound=-12457.1, time=26.4385
best_value=11732.4, lower_bound=-12457, time=26.499
best_value=11732.4, lower_bound=-12456.8, time=26.5593
best_value=11732.4, lower_bound=-12456.7, time=26.6199
best_value=11732.4, lower_bound=-12456.6, time=26.6802
best_value=11732.4, lower_bound=-12456.4, time=26.7406
best_value=11732.4, lower_bound=-12456.3, time=26.8012
best_value=11732.4, lower_bound=-12456.1, time=26.8618
best_value=11732.4, lower_bound=-12456, time=26.9223
best_value=11732.4, lower_bound=-12455.9, time=26.9828
best_value=11732.4, lower_bound=-12455.7, time=27.0429
best_value=11732.4, lower_bound=-12455.6, time=27.1034
best_value=11732.4, lower_bound=-12455.4, time=27.1639
best_value=11732.4, lower_bound=-12455.3, time=27.2245
best_value=11732.4, lower_bound=-12455.2, time=27.285
best_value=11732.4, lower_bound=-12455, time=27.3455
best_value=11732.4, lower_bound=-12454.9, time=27.4056
best_value=11732.4, lower_bound=-12454.7, time=27.4661
best_value=11732.4, lower_bound=-12454.6, time=27.526
best_value=11732.4, lower_bound=-12454.5, time=27.5868
best_value=11732.4, lower_bound=-12454.3, time=27.6474
best_value=11732.4, lower_bound=-12454.2, time=27.7083
best_value=11732.4, lower_bound=-12454.1, time=27.7683
best_value=11732.4, lower_bound=-12453.9, time=27.828
best_value=11732.4, lower_bound=-12453.8, time=27.8892
best_value=11732.4, lower_bound=-12453.7, time=27.9492
best_value=11732.4, lower_bound=-12453.5, time=28.0095
best_value=11732.4, lower_bound=-12453.4, time=28.0699
best_value=11732.4, lower_bound=-12453.3, time=28.1302
best_value=11732.4, lower_bound=-12453.1, time=28.1902
best_value=11732.4, lower_bound=-12453, time=28.2509
best_value=11732.4, lower_bound=-12452.9, time=28.3113
best_value=11732.4, lower_bound=-12452.7, time=28.3723
best_value=11732.4, lower_bound=-12452.6, time=28.4325
best_value=11732.4, lower_bound=-12452.5, time=28.4931
best_value=11732.4, lower_bound=-12452.3, time=28.5531
best_value=11732.4, lower_bound=-12452.2, time=28.6134
best_value=11732.4, lower_bound=-12452.1, time=28.674
best_value=11732.4, lower_bound=-12452, time=28.7336
best_value=11732.4, lower_bound=-12451.8, time=28.7934
best_value=11732.4, lower_bound=-12451.7, time=28.853
best_value=11732.4, lower_bound=-12451.6, time=28.9133
best_value=11732.4, lower_bound=-12451.5, time=28.973
best_value=11732.4, lower_bound=-12451.3, time=29.0328
best_value=11732.4, lower_bound=-12451.2, time=29.0926
best_value=11732.4, lower_bound=-12451.1, time=29.1529
best_value=11732.4, lower_bound=-12451, time=29.2127
best_value=11732.4, lower_bound=-12450.8, time=29.273
best_value=11732.4, lower_bound=-12450.7, time=29.3333
best_value=11732.4, lower_bound=-12450.6, time=29.3932
