reading loguai file ../../../data/107network//107network.loguai2
#factors=1864
reading function tables.done reading loguai file
normalizing #tables=189
done normalizing
prob.N=1
param.gamma=0.0001
iter=45, primal_obj=3732, best_primal_obj=3732, dual_obj=3733.81, relaxed_primal=3733, relaxed_dual=3733.81, grad_l2=1.17688, infea_inf(ratio=max/min)=e^(121.529), int_gap=194.97, pow_l1=inf, time=10905.6
iter=46, primal_obj=3729, best_primal_obj=3732, dual_obj=3733.81, relaxed_primal=3733, relaxed_dual=3733.82, grad_l2=0.943209, infea_inf(ratio=max/min)=e^(120.032), int_gap=198.14, pow_l1=inf, time=11058.1
iter=47, primal_obj=3705.17, best_primal_obj=3732, dual_obj=3733.8, relaxed_primal=3733, relaxed_dual=3733.81, grad_l2=1.18913, infea_inf(ratio=max/min)=e^(121.53), int_gap=232.959, pow_l1=inf, time=11207.7
iter=48, primal_obj=3728, best_primal_obj=3732, dual_obj=3733.71, relaxed_primal=3733, relaxed_dual=3733.71, grad_l2=0.971266, infea_inf(ratio=max/min)=e^(120), int_gap=198.303, pow_l1=inf, time=11357.7
iter=49, primal_obj=3731, best_primal_obj=3732, dual_obj=3733.81, relaxed_primal=3733, relaxed_dual=3733.81, grad_l2=1.12208, infea_inf(ratio=max/min)=e^(121.563), int_gap=196.771, pow_l1=inf, time=11509.4
iter=50, primal_obj=3725, best_primal_obj=3732, dual_obj=3733.74, relaxed_primal=3733, relaxed_dual=3733.74, grad_l2=0.969766, infea_inf(ratio=max/min)=e^(120.005), int_gap=198.425, pow_l1=inf, time=11660.5
iter=51, primal_obj=3704.17, best_primal_obj=3732, dual_obj=3733.82, relaxed_primal=3733, relaxed_dual=3733.82, grad_l2=0.972858, infea_inf(ratio=max/min)=e^(121.564), int_gap=235.434, pow_l1=inf, time=11811.1
iter=52, primal_obj=3731, best_primal_obj=3732, dual_obj=3733.75, relaxed_primal=3733, relaxed_dual=3733.75, grad_l2=1.19596, infea_inf(ratio=max/min)=e^(120), int_gap=194.249, pow_l1=inf, time=11962.3
iter=53, primal_obj=3730, best_primal_obj=3732, dual_obj=3733.72, relaxed_primal=3733, relaxed_dual=3733.72, grad_l2=0.96702, infea_inf(ratio=max/min)=e^(121.583), int_gap=199.279, pow_l1=inf, time=12113.4
iter=54, primal_obj=3730, best_primal_obj=3732, dual_obj=3733.68, relaxed_primal=3733, relaxed_dual=3733.68, grad_l2=1.05055, infea_inf(ratio=max/min)=e^(120.094), int_gap=156.541, pow_l1=inf, time=12264.7
iter=55, primal_obj=3667.83, best_primal_obj=3732, dual_obj=3733.74, relaxed_primal=3730.69, relaxed_dual=3733.74, grad_l2=0.953205, infea_inf(ratio=max/min)=e^(121.584), int_gap=319.433, pow_l1=inf, time=12418.2
iter=56, primal_obj=-2e+300, best_primal_obj=3732, dual_obj=3733.79, relaxed_primal=3732.98, relaxed_dual=3733.79, grad_l2=1.17944, infea_inf(ratio=max/min)=e^(120.236), int_gap=238.319, pow_l1=inf, time=12569.9
iter=57, primal_obj=3731, best_primal_obj=3732, dual_obj=3733.71, relaxed_primal=3733, relaxed_dual=3733.72, grad_l2=0.918125, infea_inf(ratio=max/min)=e^(121.595), int_gap=157.118, pow_l1=inf, time=12721.6
iter=58, primal_obj=3699.13, best_primal_obj=3732, dual_obj=3733.78, relaxed_primal=3733, relaxed_dual=3733.78, grad_l2=0.962933, infea_inf(ratio=max/min)=e^(120.001), int_gap=234.547, pow_l1=inf, time=12876
