reading uai file ../../../data//ImageAlignment/uai/fileforGal_400markers.uai
done reading uai file
normalizing #tables=3334
prob.avg_domain_size=54.985
prob.N=1
param.rho=1
param.eta=1
@0: T=400, n=10523771, nf=0, m=0, me=342864
iter=530, #inner=809, relaxed-p-obj=-6907.313, decoded_t=-6920.976, best_decoded=-6913.099, eta=1, p_inf=1.8e-12, d_inf=1e-12, gap=2.6e-13, nnz=3431(0.0012), time=9.9e+02
iter=535, #inner=809, relaxed-p-obj=-6907.313, decoded_t=-6920.976, best_decoded=-6913.099, eta=1, p_inf=1.9e-12, d_inf=9.9e-13, gap=6.8e-14, nnz=3431(0.0012), time=1e+03
iter=540, #inner=809, relaxed-p-obj=-6907.313, decoded_t=-6920.976, best_decoded=-6913.099, eta=1, p_inf=1.7e-12, d_inf=1e-12, gap=1.8e-13, nnz=3431(0.0012), time=1e+03
iter=545, #inner=809, relaxed-p-obj=-6907.313, decoded_t=-6920.976, best_decoded=-6913.099, eta=1, p_inf=1.2e-12, d_inf=1e-12, gap=1.2e-13, nnz=3431(0.0012), time=1e+03
iter=550, #inner=810, relaxed-p-obj=-6907.313, decoded_t=-6920.976, best_decoded=-6913.099, eta=1, p_inf=9.2e-13, d_inf=1e-12, gap=1.3e-14, nnz=3431(0.0012), time=1e+03
iter=555, #inner=810, relaxed-p-obj=-6907.313, decoded_t=-6919.993, best_decoded=-6913.099, eta=1, p_inf=8.2e-13, d_inf=1e-12, gap=6.5e-14, nnz=3431(0.0012), time=1e+03
iter=560, #inner=810, relaxed-p-obj=-6907.313, decoded_t=-6928.707, best_decoded=-6913.099, eta=1, p_inf=1.3e-12, d_inf=1e-12, gap=7.3e-14, nnz=3431(0.0012), time=1e+03
iter=565, #inner=810, relaxed-p-obj=-6907.313, decoded_t=-6919.993, best_decoded=-6913.099, eta=1, p_inf=1.4e-12, d_inf=1e-12, gap=6.1e-14, nnz=3431(0.0012), time=1.1e+03
iter=570, #inner=810, relaxed-p-obj=-6907.313, decoded_t=-6919.993, best_decoded=-6913.099, eta=1, p_inf=1.4e-12, d_inf=1e-12, gap=2.2e-14, nnz=3431(0.0012), time=1.1e+03
iter=575, #inner=810, relaxed-p-obj=-6907.313, decoded_t=-6919.993, best_decoded=-6913.099, eta=1, p_inf=1.5e-12, d_inf=1e-12, gap=9.7e-14, nnz=3431(0.0012), time=1.1e+03
iter=580, #inner=810, relaxed-p-obj=-6907.313, decoded_t=-6919.993, best_decoded=-6913.099, eta=1, p_inf=1.1e-12, d_inf=9.9e-13, gap=9.9e-14, nnz=3431(0.0012), time=1.1e+03
iter=585, #inner=810, relaxed-p-obj=-6907.313, decoded_t=-6919.993, best_decoded=-6913.099, eta=1, p_inf=9.2e-13, d_inf=9.9e-13, gap=1.2e-14, nnz=3431(0.0012), time=1.1e+03
iter=590, #inner=810, relaxed-p-obj=-6907.313, decoded_t=-6919.993, best_decoded=-6913.099, eta=1, p_inf=9.7e-13, d_inf=1e-12, gap=1.4e-13, nnz=3431(0.0012), time=1.1e+03
iter=595, #inner=810, relaxed-p-obj=-6907.313, decoded_t=-6920.976, best_decoded=-6913.099, eta=1, p_inf=7e-13, d_inf=1e-12, gap=1.4e-13, nnz=3431(0.0012), time=1.1e+03
iter=600, #inner=810, relaxed-p-obj=-6907.313, decoded_t=-6920.976, best_decoded=-6913.099, eta=1, p_inf=8.8e-13, d_inf=1e-12, gap=1.2e-13, nnz=3431(0.0012), time=1.1e+03
iter=605, #inner=810, relaxed-p-obj=-6907.313, decoded_t=-6920.976, best_decoded=-6913.099, eta=1, p_inf=1.4e-12, d_inf=1e-12, gap=1.7e-13, nnz=3431(0.0012), time=1.1e+03
iter=610, #inner=810, relaxed-p-obj=-6907.313, decoded_t=-6920.976, best_decoded=-6913.099, eta=1, p_inf=1.6e-12, d_inf=1e-12, gap=2.4e-14, nnz=3431(0.0012), time=1.1e+03
iter=615, #inner=810, relaxed-p-obj=-6907.313, decoded_t=-6920.976, best_decoded=-6913.099, eta=1, p_inf=1.1e-12, d_inf=1e-12, gap=2.1e-13, nnz=3431(0.0012), time=1.1e+03
iter=620, #inner=810, relaxed-p-obj=-6907.313, decoded_t=-6920.976, best_decoded=-6913.099, eta=1, p_inf=9.2e-13, d_inf=1e-12, gap=1.7e-13, nnz=3431(0.0012), time=1.1e+03
iter=625, #inner=810, relaxed-p-obj=-6907.313, decoded_t=-6920.976, best_decoded=-6913.099, eta=1, p_inf=7.4e-13, d_inf=1e-12, gap=6.1e-14, nnz=3431(0.0012), time=1.2e+03
iter=630, #inner=810, relaxed-p-obj=-6907.313, decoded_t=-6920.387, best_decoded=-6913.099, eta=1, p_inf=8.7e-13, d_inf=1e-12, gap=3e-13, nnz=3431(0.0012), time=1.2e+03
iter=635, #inner=810, relaxed-p-obj=-6907.313, decoded_t=-6919.993, best_decoded=-6913.099, eta=1, p_inf=6.9e-13, d_inf=1e-12, gap=1e-13, nnz=3431(0.0012), time=1.2e+03
iter=640, #inner=810, relaxed-p-obj=-6907.313, decoded_t=-6919.993, best_decoded=-6913.099, eta=1, p_inf=1.2e-12, d_inf=1e-12, gap=2.9e-13, nnz=3431(0.0012), time=1.2e+03
iter=645, #inner=810, relaxed-p-obj=-6907.313, decoded_t=-6919.993, best_decoded=-6913.099, eta=1, p_inf=1e-12, d_inf=1e-12, gap=2.5e-13, nnz=3431(0.0012), time=1.2e+03
iter=650, #inner=809, relaxed-p-obj=-6907.313, decoded_t=-6919.993, best_decoded=-6913.099, eta=1, p_inf=1.2e-12, d_inf=1e-12, gap=1.7e-13, nnz=3431(0.0012), time=1.2e+03
