reading uai file ../../../data//Segmentation/uai/16_16_s.21.uai
done reading uai file
normalizing #tables=842
prob.N=1
param.gamma=0.0001
iter=76, primal_obj=-343.336, best_primal_obj=-343.336, dual_obj=-207.805, relaxed_primal=-183.942, relaxed_dual=-207.802, grad_l2=0.18685, infea_inf(ratio=max/min)=e^(120), int_gap=195.722, pow_l1=3.66483e+09, time=1.58218
iter=77, primal_obj=-346.625, best_primal_obj=-343.336, dual_obj=-208.155, relaxed_primal=-197.031, relaxed_dual=-208.151, grad_l2=0.19053, infea_inf(ratio=max/min)=e^(120), int_gap=207.375, pow_l1=3.66668e+09, time=1.6014
iter=78, primal_obj=-344.823, best_primal_obj=-343.336, dual_obj=-208.399, relaxed_primal=-180.769, relaxed_dual=-208.396, grad_l2=0.184731, infea_inf(ratio=max/min)=e^(120), int_gap=190.474, pow_l1=3.6687e+09, time=1.62059
iter=79, primal_obj=-359.857, best_primal_obj=-343.336, dual_obj=-208.814, relaxed_primal=-198.666, relaxed_dual=-208.811, grad_l2=0.188784, infea_inf(ratio=max/min)=e^(120), int_gap=213.126, pow_l1=3.67057e+09, time=1.63979
iter=80, primal_obj=-340.062, best_primal_obj=-340.062, dual_obj=-209.005, relaxed_primal=-183.774, relaxed_dual=-209.002, grad_l2=0.188871, infea_inf(ratio=max/min)=e^(120), int_gap=193.905, pow_l1=3.67259e+09, time=1.65897
iter=81, primal_obj=-346.625, best_primal_obj=-340.062, dual_obj=-209.349, relaxed_primal=-198.058, relaxed_dual=-209.345, grad_l2=0.194559, infea_inf(ratio=max/min)=e^(120), int_gap=208.544, pow_l1=3.67456e+09, time=1.67817
iter=82, primal_obj=-340.329, best_primal_obj=-340.062, dual_obj=-209.59, relaxed_primal=-181.106, relaxed_dual=-209.587, grad_l2=0.185579, infea_inf(ratio=max/min)=e^(120), int_gap=195.32, pow_l1=3.67664e+09, time=1.69735
iter=83, primal_obj=-348.876, best_primal_obj=-340.062, dual_obj=-210.014, relaxed_primal=-196.136, relaxed_dual=-210.01, grad_l2=0.188753, infea_inf(ratio=max/min)=e^(120), int_gap=207.241, pow_l1=3.67852e+09, time=1.7166
iter=84, primal_obj=-340.062, best_primal_obj=-340.062, dual_obj=-210.204, relaxed_primal=-184.105, relaxed_dual=-210.201, grad_l2=0.185793, infea_inf(ratio=max/min)=e^(120), int_gap=196.475, pow_l1=3.68052e+09, time=1.73579
iter=85, primal_obj=-350.723, best_primal_obj=-340.062, dual_obj=-210.549, relaxed_primal=-200.454, relaxed_dual=-210.545, grad_l2=0.1927, infea_inf(ratio=max/min)=e^(120), int_gap=211.668, pow_l1=3.68245e+09, time=1.75498
iter=86, primal_obj=-343.24, best_primal_obj=-340.062, dual_obj=-210.766, relaxed_primal=-180.753, relaxed_dual=-210.763, grad_l2=0.186307, infea_inf(ratio=max/min)=e^(120), int_gap=203.584, pow_l1=3.68454e+09, time=1.77418
iter=87, primal_obj=-352.309, best_primal_obj=-340.062, dual_obj=-211.15, relaxed_primal=-200.692, relaxed_dual=-211.147, grad_l2=0.19093, infea_inf(ratio=max/min)=e^(120), int_gap=208.135, pow_l1=3.68643e+09, time=1.79341
