reading uai file ../../../data//Segmentation/uai/16_16_s.21.uai
done reading uai file
normalizing #tables=842
prob.avg_domain_size=21
prob.N=1
param.rho=1
param.eta=1
@0: T=226, n=276402, nf=0, m=0, me=26098
iter=255, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.7e-13, d_inf=1e-12, gap=1.8e-13, nnz=842(0.0061), time=8.6
iter=260, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7e-13, d_inf=9.9e-13, gap=1.7e-13, nnz=842(0.0061), time=8.8
iter=265, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.2e-13, d_inf=1e-12, gap=3.5e-14, nnz=842(0.0061), time=9
iter=270, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=8.4e-13, d_inf=1e-12, gap=1.4e-13, nnz=842(0.0061), time=9.1
iter=275, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7e-13, d_inf=1e-12, gap=7.8e-14, nnz=842(0.0061), time=9.3
iter=280, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.7e-13, d_inf=9.9e-13, gap=6e-15, nnz=842(0.0061), time=9.4
iter=285, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.6e-13, d_inf=1e-12, gap=4e-14, nnz=842(0.0061), time=9.6
iter=290, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=6.5e-13, d_inf=9.9e-13, gap=5.3e-14, nnz=842(0.0061), time=9.7
iter=295, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.6e-13, d_inf=1e-12, gap=6.4e-14, nnz=842(0.0061), time=9.9
iter=300, #inner=164, relaxed-p-obj=-252.3914, decoded_t=-252.3914, best_decoded=-252.3914, eta=1, p_inf=7.5e-13, d_inf=1e-12, gap=2.9e-14, nnz=842(0.0061), time=10
