reading model...done
reading test data...done
2.81522
prob.D=5001
prob.K=3884
prob.N=1
param.rho=0.25
param.eta=0.1
iter=40, decoded_t=822.829, best_decoded=822.829, dinf=0.61386, p_inf=1, acc=0.992453, uni_act_size=20.5, area1=0, area23=0, area4=0, bi_act_size=287, bi_ever_nnz_msg=0, uni_search=0.000373649, uni_subsolve=0.000248842, bi_search=3.49208e-05, bi_subsolve=0.00158484, maintain=0.000405989, construct=0, overall time=5.85177
iter=41, decoded_t=822.588, best_decoded=822.829, dinf=1.35388, p_inf=1, acc=0.992249, uni_act_size=21, area1=0, area23=0, area4=0, bi_act_size=301, bi_ever_nnz_msg=0, uni_search=0.000389434, uni_subsolve=0.000259877, bi_search=3.56888e-05, bi_subsolve=0.00169595, maintain=0.000437207, construct=0, overall time=5.89966
iter=42, decoded_t=825.65, best_decoded=825.65, dinf=1.06484, p_inf=1, acc=0.992058, uni_act_size=21.5, area1=0, area23=0, area4=0, bi_act_size=315.333, bi_ever_nnz_msg=0, uni_search=0.000405917, uni_subsolve=0.000270423, bi_search=3.64568e-05, bi_subsolve=0.00181105, maintain=0.000470451, construct=0, overall time=5.94693
iter=43, decoded_t=828.535, best_decoded=828.535, dinf=1.26878, p_inf=1, acc=0.991864, uni_act_size=22, area1=0, area23=0, area4=0, bi_act_size=330, bi_ever_nnz_msg=0, uni_search=0.0004224, uni_subsolve=0.000281039, bi_search=3.72248e-05, bi_subsolve=0.00192867, maintain=0.000504812, construct=0, overall time=5.9941
iter=44, decoded_t=831.376, best_decoded=831.376, dinf=1.39728, p_inf=1, acc=0.991681, uni_act_size=22.5, area1=0, area23=0, area4=0, bi_act_size=345, bi_ever_nnz_msg=0, uni_search=0.00044007, uni_subsolve=0.000293262, bi_search=3.83428e-05, bi_subsolve=0.0020571, maintain=0.000542177, construct=0, overall time=6.04159
iter=45, decoded_t=833.563, best_decoded=833.563, dinf=1.75622, p_inf=1, acc=0.991512, uni_act_size=23, area1=0, area23=0, area4=0, bi_act_size=360.333, bi_ever_nnz_msg=0, uni_search=0.000458228, uni_subsolve=0.00032036, bi_search=3.90409e-05, bi_subsolve=0.00218868, maintain=0.000580521, construct=0, overall time=6.08952
iter=46, decoded_t=836.305, best_decoded=836.305, dinf=1.76253, p_inf=1, acc=0.991397, uni_act_size=23.5, area1=0, area23=0, area4=0, bi_act_size=376, bi_ever_nnz_msg=0, uni_search=0.000476666, uni_subsolve=0.000331674, bi_search=4.11369e-05, bi_subsolve=0.00232529, maintain=0.000620122, construct=0, overall time=6.13698
iter=47, decoded_t=838.59, best_decoded=838.59, dinf=2.15185, p_inf=1, acc=0.991316, uni_act_size=24, area1=0, area23=0, area4=0, bi_act_size=392, bi_ever_nnz_msg=0, uni_search=0.000495733, uni_subsolve=0.00034243, bi_search=4.18359e-05, bi_subsolve=0.00246561, maintain=0.000661887, construct=0, overall time=6.18472
iter=48, decoded_t=840.926, best_decoded=840.926, dinf=2.24773, p_inf=1, acc=0.990793, uni_act_size=24.5, area1=0, area23=0, area4=0, bi_act_size=408.333, bi_ever_nnz_msg=0, uni_search=0.000515777, uni_subsolve=0.000362405, bi_search=4.25349e-05, bi_subsolve=0.0026122, maintain=0.000722159, construct=0, overall time=6.23208
iter=49, decoded_t=843.148, best_decoded=843.148, dinf=2.38264, p_inf=0.98353, acc=0.989252, uni_act_size=25, area1=0, area23=0, area4=0, bi_act_size=425, bi_ever_nnz_msg=0, uni_search=0.000535193, uni_subsolve=0.000372532, bi_search=4.44899e-05, bi_subsolve=0.00276376, maintain=0.00076616, construct=0, overall time=6.27962
iter=50, decoded_t=845.287, best_decoded=845.287, dinf=2.5408, p_inf=0.95452, acc=0.987901, uni_act_size=25.5, area1=0, area23=0, area4=0, bi_act_size=442, bi_ever_nnz_msg=0, uni_search=0.000555657, uni_subsolve=0.000384126, bi_search=4.53279e-05, bi_subsolve=0.00292111, maintain=0.000812185, construct=0, overall time=6.32706
iter=51, decoded_t=847.55, best_decoded=847.55, dinf=2.68252, p_inf=0.927596, acc=0.986702, uni_act_size=26, area1=0, area23=0, area4=0, bi_act_size=459.333, bi_ever_nnz_msg=0, uni_search=0.000576959, uni_subsolve=0.000398374, bi_search=4.6026e-05, bi_subsolve=0.00308594, maintain=0.000861283, construct=0, overall time=6.37439
iter=52, decoded_t=849.669, best_decoded=849.669, dinf=2.89749, p_inf=0.902457, acc=0.985593, uni_act_size=26.5, area1=0, area23=0, area4=0, bi_act_size=477, bi_ever_nnz_msg=0, uni_search=0.000598679, uni_subsolve=0.000413669, bi_search=4.6794e-05, bi_subsolve=0.00328638, maintain=0.000912756, construct=0, overall time=6.42262
iter=53, decoded_t=857.409, best_decoded=857.409, dinf=3.09569, p_inf=0.878853, acc=0.984568, uni_act_size=27, area1=0, area23=0, area4=0, bi_act_size=495, bi_ever_nnz_msg=0, uni_search=0.000621168, uni_subsolve=0.000428196, bi_search=4.74919e-05, bi_subsolve=0.00346098, maintain=0.000964717, construct=0, overall time=6.47046
iter=54, decoded_t=859.431, best_decoded=859.431, dinf=3.2653, p_inf=0.856861, acc=0.983588, uni_act_size=27.5, area1=0, area23=0, area4=0, bi_act_size=513.333, bi_ever_nnz_msg=0, uni_search=0.000670895, uni_subsolve=0.000440488, bi_search=4.82599e-05, bi_subsolve=0.00365186, maintain=0.00101968, construct=0, overall time=6.51837
iter=55, decoded_t=861.136, best_decoded=861.136, dinf=3.5181, p_inf=0.836203, acc=0.982644, uni_act_size=28, area1=0, area23=0, area4=0, bi_act_size=532, bi_ever_nnz_msg=0, uni_search=0.000694221, uni_subsolve=0.000451663, bi_search=5.09139e-05, bi_subsolve=0.00387242, maintain=0.00107786, construct=0, overall time=6.56604
iter=56, decoded_t=863.009, best_decoded=863.009, dinf=3.54458, p_inf=0.814038, acc=0.981738, uni_act_size=28.5, area1=0, area23=0, area4=0, bi_act_size=551, bi_ever_nnz_msg=0, uni_search=0.000718665, uni_subsolve=0.000465491, bi_search=5.27299e-05, bi_subsolve=0.00407154, maintain=0.00113639, construct=0, overall time=6.61404
iter=57, decoded_t=851.357, best_decoded=863.009, dinf=3.81977, p_inf=0.790434, acc=0.980864, uni_act_size=29, area1=0, area23=0, area4=0, bi_act_size=570.333, bi_ever_nnz_msg=0, uni_search=0.000743668, uni_subsolve=0.00047953, bi_search=5.34979e-05, bi_subsolve=0.00427729, maintain=0.00119785, construct=0, overall time=6.6614
iter=58, decoded_t=797.089, best_decoded=863.009, dinf=3.93689, p_inf=0.765415, acc=0.980029, uni_act_size=29.5, area1=0, area23=0, area4=0, bi_act_size=590, bi_ever_nnz_msg=0, uni_search=0.00076951, uni_subsolve=0.0004928, bi_search=5.41959e-05, bi_subsolve=0.00448458, maintain=0.00126084, construct=0, overall time=6.70883
iter=59, decoded_t=758.146, best_decoded=863.009, dinf=4.15764, p_inf=0.739036, acc=0.979252, uni_act_size=30, area1=0, area23=0, area4=0, bi_act_size=610, bi_ever_nnz_msg=0, uni_search=0.000795211, uni_subsolve=0.000508654, bi_search=5.50339e-05, bi_subsolve=0.00470262, maintain=0.00132677, construct=0, overall time=6.75691
